
--- University-wide SDG Coverage (Gemini-2.5-flash) ---
Total courses analyzed: 2874
Courses related to at least one SDG (score > 6.99): 2838 (98.75%)

Courses related to each SDG (University-wide, absolute count):
1. No Poverty: 86 courses
2. Zero Hunger: 27 courses
3. Good Health and Well-being: 337 courses
4. Quality Education: 2331 courses
5. Gender Equality: 208 courses
6. Clean Water and Sanitation: 14 courses
7. Affordable and Clean Energy: 60 courses
8. Decent Work and Economic Growth: 854 courses
9. Industry, Innovation and Infrastructure: 844 courses
10. Reduced Inequalities: 511 courses
11. Sustainable Cities and Communities: 167 courses
12. Responsible Consumption and Production: 223 courses
13. Climate Action: 146 courses
14. Life Below Water: 35 courses
15. Life on Land: 83 courses
16. Peace, Justice and Strong Institutions: 946 courses
17. Partnerships for the Goals: 502 courses

--- Course SDG Density Analysis (Gemini-2.5-pro) ---

--- Top 10 Courses for SDG: No Poverty (Gemini-2.5-pro) ---
| Rank | Course ID | Course Name | Department | Score | Course URL |
|------|-----------|-------------|------------|-------|------------|
| 1    | 651343001 | 社會保險法專題研究（一）                                     | 法律碩一法律博一法律碩二法律博二                                                                                  | 10.00 | [Link](https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=651343&gop=00&s=1.html) |
| 2    | 651B90001 | 社會法名著選讀     | 法律碩一法律博一法律碩二法律博二                                                                                  | 10.00 | [Link](https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=651B90&gop=00&s=1.html) |
| 3    | 266941001 | 所得稅問題       | 應社碩一應社碩二                                                                                            | 10.00 | [Link](https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=266941&gop=00&s=1.html) |
| 4    | ZU1868001 | 永續發展商業模式：選擇、實施與最佳案例分析 | 創國學三創國學四                                                                                            | 9.50 | [Link](https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=ZU1868&gop=00&s=1.html) |
| 5    | 264101001 | 社會政策與社會立法專題 | 社工碩一社工碩二                                                                                            | 9.50 | [Link](https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=264101&gop=00&s=1.html) |
| 6    | 252699001 | 全球化與東亞福利國家  | 政治碩一政治博一政治碩二政治博二                                                                                  | 9.50 | [Link](https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=252699&gop=00&s=1.html) |
| 7    | 862950001 | 國際合作專題 – 農業、經濟與貿易議題 | 國研碩一國研碩二                                                                                            | 9.00 | [Link](https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=862950&gop=00&s=1.html) |
| 8    | 266910001 | 發展援助專題      | 應社碩一應社碩二                                                                                            | 9.00 | [Link](https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=266910&gop=00&s=1.html) |
| 9    | 261924001 | 發展援助專題      | 國發碩一國發博一國發碩二國發博二                                                                                  | 9.00 | [Link](https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=261924&gop=00&s=1.html) |
